“id”,”date","moh_wl","guma_wl"
"1",2016-06-01,NA,NA
"2",2016-06-02,"1.87",NA
"3",2016-06-03,"1.847",NA
"4",2016-06-04,"1.822","1.04"
"5",2016-06-05,"1.8",NA
"6",2016-06-06,"1.779",NA
"7",2016-06-07,"1.755",NA
"8",2016-06-08,"1.729",NA
"9",2016-06-09,"1.715","1.02"
"10",2016-06-10,"1.695",NA
"11",2016-06-11,"1.672",NA
"12",2016-06-12,"1.64",NA
"13",2016-06-13,"1.629",NA
"14",2016-06-14,NA,NA
"15",2016-06-15,"1.599",NA
"16",2016-06-16,"1.58","0.98"
"17",2016-06-17,"1.569",NA
"18",2016-06-18,"1.56",NA
"19",2016-06-19,"1.543",NA
"20",2016-06-20,"1.525",NA
"21",2016-06-21,"1.515",NA
"22",2016-06-22,"1.5",NA
"23",2016-06-23,"1.484",NA
"24",2016-06-24,"1.473",NA
"25",2016-06-25,"1.458","0.94"
"26",2016-06-26,"1.446",NA
"27",2016-06-27,"1.423",NA
"28",2016-06-28,"1.414",NA
"29",2016-06-29,"1.405",NA
"30",2016-06-30,"1.392",NA
"31",2016-07-01,"1.374",NA
"32",2016-07-02,"1.367","0.9"
"33",2016-07-03,"1.352","0.9"
"34",2016-07-04,"1.339",NA
"35",2016-07-05,"1.31","0.89"
"36",2016-07-06,NA,NA
"37",2016-07-07,"1.3",NA
"38",2016-07-08,"1.284","0.87"
"39",2016-07-09,"1.264",NA
"40",2016-07-10,"1.258","0.86"
"41",2016-07-11,"1.247",NA
"42",2016-07-12,"1.223","0.85"
"43",2016-07-13,"1.2",NA
"44",2016-07-14,"1.2","0.85"
"45",2016-07-15,"1.18",NA
"46",2016-07-16,"1.164","0.84"
"47",2016-07-17,"1.156",NA
"48",2016-07-18,"1.148","0.83"
"49",2016-07-19,"1.134","0.82"
"50",2016-07-20,"1.12",NA
"51",2016-07-21,"1.1","0.82"
"52",2016-07-22,NA,"0.82"
"53",2016-07-23,"1.09",NA
"54",2016-07-24,"1.08","0.81"
"55",2016-07-25,"1.07",NA
"56",2016-07-26,"1.07","0.8"
"57",2016-07-27,"1.067",NA
"58",2016-07-28,"1.04","0.8"
"59",2016-07-29,"1.052",NA
"60",2016-07-30,"1.04","0.79"
"61",2016-07-31,"1.032",NA
"62",2016-08-01,"1.022","0.79"
"63",2016-08-02,"1.013",NA
"64",2016-08-03,"1.005",NA
"65",2016-08-04,"1","0.78"
"66",2016-08-05,"1",NA
"67",2016-08-06,"0.99",NA
"68",2016-08-07,"0.982",NA
"69",2016-08-08,"0.97",NA
"70",2016-08-09,"0.962",NA
"71",2016-08-10,"0.955","0.77"
"72",2016-08-11,"0.95",NA
"73",2016-08-12,"0.944",NA
"74",2016-08-13,"0.94",NA
"75",2016-08-14,"0.932","0.76"
"76",2016-08-15,"0.923",NA
"77",2016-08-16,"0.912",NA
"78",2016-08-17,"0.902","0.76"
"79",2016-08-18,"0.9",NA
"80",2016-08-19,"0.892",NA
"81",2016-08-20,"0.888","0.75"
"82",2016-08-21,"0.884",NA
"83",2016-08-22,"0.87",NA
"84",2016-08-23,"0.868","0.75"
"85",2016-08-24,"0.86",NA
"86",2016-08-25,"0.848",NA
"87",2016-08-26,"0.842","0.74"
"88",2016-08-27,"0.828",NA
"89",2016-08-28,"0.824","0.74"
"90",2016-08-29,"0.805",NA
"91",2016-08-30,"0.799","0.74"
"92",2016-08-31,"0.79",NA
"93",2016-09-01,"0.785","0.73"
"94",2016-09-02,"0.778",NA
"95",2016-09-03,"0.769",NA
"96",2016-09-04,"0.762","0.73"
"97",2016-09-05,"0.758",NA
"98",2016-09-06,"0.75",NA
"99",2016-09-07,"0.737","0.71"
"100",2016-09-08,"0.735",NA
"101",2016-09-09,"0.718",NA
"102",2016-09-10,"0.715",NA
"103",2016-09-11,"0.7","0.71"
"104",2016-09-12,"0.695",NA
"105",2016-09-13,"0.693",NA
"106",2016-09-14,"0.673",NA
"107",2016-09-15,"0.657","0.69"
"108",2016-09-16,"0.66",NA
"109",2016-09-17,"0.655",NA
"110",2016-09-18,"0.642",NA
"111",2016-09-19,"0.634","0.68"
"112",2016-09-20,"0.621",NA
"113",2016-09-21,"0.617",NA
"114",2016-09-22,"0.607",NA
"115",2016-09-23,"0.6",NA
"116",2016-09-24,"0.58","0.66"
"117",2016-09-25,"0.57",NA
"118",2016-09-26,"0.562",NA
"119",2016-09-27,"0.555",NA
"120",2016-09-28,"0.54","0.66"
"121",2016-09-29,"0.532",NA
"122",2016-09-30,"0.52","0.65"
"123",2016-10-01,"0.512","0.65"
"124",2016-10-02,"0.508",NA
"125",2016-10-03,"0.5",NA
"126",2016-10-04,"0.49","0.64"
"127",2016-10-05,"0.478",NA
"128",2016-10-06,"0.469",NA
"129",2016-10-07,"0.453","0.63"
"130",2016-10-08,NA,NA
"131",2016-10-09,NA,NA
"132",2016-10-10,NA,"0.62"
"133",2016-10-11,NA,NA
"134",2016-10-12,NA,NA
"135",2016-10-13,NA,"0.6"
"136",2016-10-14,NA,NA
"137",2016-10-15,NA,"0.59"
"138",2016-10-16,NA,NA
"139",2016-10-17,NA,"0.58"
"140",2016-10-18,"0.35",NA
"141",2016-10-19,"0.337",NA
"142",2016-10-20,"0.33","0.57"
"143",2016-10-21,"0.323",NA
"144",2016-10-22,"0.318",NA
"145",2016-10-23,"0.31","0.56"
"146",2016-10-24,"0.3",NA
"147",2016-10-25,"0.3","0.56"
"148",2016-10-26,"0.292",NA
"149",2016-10-27,"0.282",NA
"150",2016-10-28,"0.278","0.54"
"151",2016-10-29,"0.27",NA
"152",2016-10-30,"0.261","0.54"
"153",2016-10-31,"0.257",NA
"154",2016-11-01,"0.25","0.53"
"155",2016-11-02,"0.242",NA
"156",2016-11-03,"0.235","0.53"
"157",2016-11-04,"0.24",NA
"158",2016-11-05,"0.256","0.54"
"159",2016-11-06,"0.252","0.53"
"160",2016-11-07,"0.24",NA
"161",2016-11-08,"0.233","0.52"
"162",2016-11-09,"0.24",NA
"163",2016-11-10,"0.24","0.51"
"164",2016-11-11,"0.249",NA
"165",2016-11-12,"0.249","0.5"
"166",2016-11-13,"0.25",NA
"167",2016-11-14,"0.251",NA
"168",2016-11-15,"0.258","0.48"
"169",2016-11-16,"0.25",NA
"170",2016-11-17,"0.258",NA
"171",2016-11-18,"0.252",NA
"172",2016-11-19,"0.251","0.46"
"173",2016-11-20,"0.253",NA
"174",2016-11-21,"0.287",NA
"175",2016-11-22,"0.299",NA
"176",2016-11-23,"0.332","0.45"
"177",2016-11-24,"0.342",NA
"178",2016-11-25,"0.365",NA
"179",2016-11-26,"0.363","0.44"
"180",2016-11-27,"0.349",NA
"181",2016-11-28,"0.358",NA
"182",2016-11-29,"0.378","0.43"
"183",2016-11-30,"0.396",NA
"184",2016-12-01,"0.412","0.42"
"185",2016-12-02,"0.442",NA
"186",2016-12-03,"0.482","0.41"
"187",2016-12-04,"0.522",NA
"188",2016-12-05,"0.562","0.41"
"189",2016-12-06,"0.622",NA
"190",2016-12-07,"0.67","0.41"
"191",2016-12-08,"0.682",NA
"192",2016-12-09,"0.688","0.4"
"193",2016-12-10,"0.702","0.4"
"194",2016-12-11,"0.735",NA
"195",2016-12-12,"0.778","0.4"
"196",2016-12-13,"0.805","0.4"
"197",2016-12-14,"0.86","0.39"
"198",2016-12-15,"0.88","0.42"
"199",2016-12-16,"0.9","0.44"
"200",2016-12-17,"0.91",NA
"201",2016-12-18,"0.93","0.46"
"202",2016-12-19,"0.94",NA
"203",2016-12-20,"0.922",NA
"204",2016-12-21,"0.912",NA
"205",2016-12-22,"0.92",NA
"206",2016-12-23,"0.945","0.45"
"207",2016-12-24,"0.966",NA
"208",2016-12-25,"1.001","0.45"
"209",2016-12-26,"1.072",NA
"210",2016-12-27,"1.149",NA
"211",2016-12-28,"1.189","0.45"
"212",2016-12-29,"1.22","0.45"
"213",2016-12-30,"1.23","0.46"
"214",2016-12-31,"1.239",NA
"215",2017-01-01,"1.269","0.48"
"216",2017-01-02,"1.28","0.48"
"217",2017-01-03,"1.3","0.48"
"218",2017-01-04,"1.37","0.48"
"219",2017-01-05,"1.388","0.49"
"220",2017-01-06,"1.392","0.51"
"221",2017-01-07,"1.392","0.52"
"222",2017-01-08,"1.415","0.54"
"223",2017-01-09,"1.442","0.58"
"224",2017-01-10,"1.447","0.59"
"225",2017-01-11,NA,"0.61"
"226",2017-01-12,"1.56","0.61"
"227",2017-01-13,"1.565","0.62"
"228",2017-01-14,"1.57","0.62"
"229",2017-01-15,"1.594","0.63"
"230",2017-01-16,"1.615","0.64"
"231",2017-01-17,"1.644","0.64"
"232",2017-01-18,"1.684","0.64"
"233",2017-01-19,"1.713","0.64"
"234",2017-01-20,"1.74","0.65"
"235",2017-01-21,"1.765","0.62"
"236",2017-01-22,NA,"0.62"
"237",2017-01-23,NA,"0.62"
"238",2017-01-24,NA,"0.62"
"239",2017-01-25,NA,"0.64"
"240",2017-01-26,NA,"0.66"
"241",2017-01-27,NA,"0.68"
"242",2017-01-28,NA,"0.72"
"243",2017-01-29,NA,"0.74"
"244",2017-01-30,NA,"0.78"
"245",2017-01-31,NA,"0.78"
"246",2017-02-01,NA,"0.8"
"247",2017-02-02,NA,"0.81"
"248",2017-02-03,NA,"0.82"
"249",2017-02-04,NA,"0.82"
"250",2017-02-05,NA,"0.82"
"251",2017-02-06,NA,"0.84"
"252",2017-02-07,"1.79",NA
"253",2017-02-08,"1.845","0.86"
"254",2017-02-09,"1.861","0.86"
"255",2017-02-10,"1.872","0.88"
"256",2017-02-11,"1.886","0.88"
"257",2017-02-12,"1.901","0.88"
"258",2017-02-13,"1.89","0.88"
"259",2017-02-14,"1.888","0.9"
"260",2017-02-15,"1.864","0.9"
"261",2017-02-16,"1.835","0.9"
"262",2017-02-17,"1.795","0.9"
"263",2017-02-18,"1.75","0.9"
"264",2017-02-19,"1.7","0.9"
"265",2017-02-20,"1.666","0.91"
"266",2017-02-21,"1.62","0.93"
"267",2017-02-22,"1.59","0.93"
"268",2017-02-23,"1.55","0.94"
"269",2017-02-24,"1.542","0.94"
"270",2017-02-25,"1.545","0.95"
"271",2017-02-26,"1.6","0.95"
"272",2017-02-27,"1.63","0.96"
"273",2017-02-28,"1.647","0.96"
"274",2017-03-01,"1.68","0.96"
"275",2017-03-02,"1.715","0.97"
"276",2017-03-03,"1.753","0.97"
"277",2017-03-04,"1.78","0.98"
"278",2017-03-05,"1.821","0.98"
"279",2017-03-06,"1.847","0.98"
"280",2017-03-07,"1.869","0.98"
"281",2017-03-08,"1.89","0.97"
"282",2017-03-09,"1.94",NA
"283",2017-03-10,"1.888","0.97"
"284",2017-03-11,"1.89","0.96"
"285",2017-03-12,"1.895","0.96"
"286",2017-03-13,"2","0.96"
"287",2017-03-14,"2.02","0.95"
"288",2017-03-15,"2.06","0.95"
"289",2017-03-16,"2.089","0.95"
"290",2017-03-17,"2.125","0.95"
"291",2017-03-18,"2.162","0.94"
"292",2017-03-19,"2.19","0.94"
"293",2017-03-20,"2.229","0.94"
"294",2017-03-21,"2.259","0.94"
"295",2017-03-22,"2.277","0.94"
"296",2017-03-23,"2.28","0.94"
"297",2017-03-24,"2.289","0.93"
"298",2017-03-25,"2.28","0.93"
"299",2017-03-26,"2.255","0.93"
"300",2017-03-27,"2.245","0.92"
"301",2017-03-28,"2.21","0.92"
"302",2017-03-29,"2.18","0.92"
"303",2017-03-30,"2.168","0.93"
"304",2017-03-31,"2.15","0.93"
"305",2017-04-01,"2.16","0.93"
"306",2017-04-02,"2.18","0.94"
"307",2017-04-03,"2.19","0.94"
"308",2017-04-04,"2.202","0.94"
"309",2017-04-05,"2.22","0.95"
"310",2017-04-06,"2.222","0.95"
"311",2017-04-07,"2.22","0.95"
"312",2017-04-08,"2.21","0.95"
"313",2017-04-09,"2.2","0.96"
"314",2017-04-10,"2.195","0.97"
"315",2017-04-11,"2.19","0.97"
"316",2017-04-12,"2.19","0.98"
"317",2017-04-13,"2.2","0.99"
"318",2017-04-14,"2.223","1"
"319",2017-04-15,"2.24","1"
"320",2017-04-16,"2.25","1"
"321",2017-04-17,"2.26","1"
"322",2017-04-18,"2.26","1"
"323",2017-04-19,"2.255","1"
"324",2017-04-20,"2.245","1"
"325",2017-04-21,"2.225","1"
"326",2017-04-22,"2.203","1"
"327",2017-04-23,"2.206","1.02"
"328",2017-04-24,"2.201","1.02"
"329",2017-04-25,"2.165","1.02"
"330",2017-04-26,"2.13","1.03"
"331",2017-04-27,"2.095","1.04"
"332",2017-04-28,"2.05","1.04"
"333",2017-04-29,"2.01","1.04"
"334",2017-04-30,"1.981","1.04"
"335",2017-05-01,"1.955","1.05"
"336",2017-05-02,"1.93","1.04"
"337",2017-05-03,"1.91","1.04"
"338",2017-05-04,"1.885","1.04"
"339",2017-05-05,"1.872","1.04"
"340",2017-05-06,"1.855","1.04"
"341",2017-05-07,"1.845","1.04"
"342",2017-05-08,"1.842","1.04"
"343",2017-05-09,"1.835","1.04"
"344",2017-05-10,"1.827","1.04"
"345",2017-05-11,"1.815","1.04"
"346",2017-05-12,"1.81","1.04"
"347",2017-05-13,"1.778","1.03"
"348",2017-05-14,"1.77","1.03"
"349",2017-05-15,"1.75","1.03"
"350",2017-05-16,"1.72","1.03"
"351",2017-05-17,"1.705","1.03"
"352",2017-05-18,"1.68","1.03"
"353",2017-05-19,"1.655","1.03"
"354",2017-05-20,"1.63","1.03"
"355",2017-05-21,"1.6","1.03"
"356",2017-05-22,"1.58","1.01"
"357",2017-05-23,"1.559","1.01"
"358",2017-05-24,"1.537","1.01"
"359",2017-05-25,"1.509","1.01"
"360",2017-05-26,"1.497","1"
"361",2017-05-27,"1.475","1"
"362",2017-05-28,"1.462","0.98"
"363",2017-05-29,"1.442","0.98"
"364",2017-05-30,"1.421","0.96"
"365",2017-05-31,"1.405","0.96"
"366",2017-06-01,"1.392","0.95"
"367",2017-06-02,"1.37","0.95"
"368",2017-06-03,"1.353","0.95"
"369",2017-06-04,"1.342","0.94"
"370",2017-06-05,"1.33","0.94"
"371",2017-06-06,"1.321","0.94"
"372",2017-06-07,NA,"0.93"
"373",2017-06-08,NA,"0.93"
"374",2017-06-09,"1.28","0.93"
"375",2017-06-10,"1.265","0.93"
"376",2017-06-11,"1.252","0.93"
"377",2017-06-12,"1.24","0.92"
"378",2017-06-13,"1.23","0.92"
"379",2017-06-14,"1.208","0.92"
"380",2017-06-15,"1.202","0.92"
"381",2017-06-16,"1.19","0.92"
"382",2017-06-17,"1.175","0.91"
"383",2017-06-18,"1.162","0.91"
"384",2017-06-19,"1.16","0.9"
"385",2017-06-20,"1.154","0.9"
"386",2017-06-21,"1.152",NA
"387",2017-06-22,"1.115","0.88"
"388",2017-06-23,"1.1","0.88"
"389",2017-06-24,"1.09","0.86"
"390",2017-06-25,"1.075","0.86"
"391",2017-06-26,"1.068","0.86"
"392",2017-06-27,"1.055","0.86"
"393",2017-06-28,"1.04","0.86"
"394",2017-06-29,"1.032","0.86"
"395",2017-06-30,"1.02","0.85"
"396",2017-07-01,"1","0.85"
"397",2017-07-02,"0.995","0.85"
"398",2017-07-03,"0.984","0.85"
"399",2017-07-04,"0.967","0.83"
"400",2017-07-05,"0.952",NA
"401",2017-07-06,"0.943","0.83"
"402",2017-07-07,"0.925",NA
"403",2017-07-08,"0.91",NA
"404",2017-07-09,"0.9","0.81"
"405",2017-07-10,"0.885",NA
"406",2017-07-11,"0.873",NA
"407",2017-07-12,"0.845","0.81"
"408",2017-07-13,"0.813",NA
"409",2017-07-14,"0.8",NA
"410",2017-07-15,"0.792","0.8"
"411",2017-07-16,"0.789",NA
"412",2017-07-17,"0.78","0.8"
"413",2017-07-18,"0.77",NA
"414",2017-07-19,"0.758","0.8"
"415",2017-07-20,"0.75",NA
"416",2017-07-21,"0.74","0.79"
"417",2017-07-22,"0.728",NA
"418",2017-07-23,"0.715",NA
"419",2017-07-24,"0.71","0.79"
"420",2017-07-25,"0.7",NA
"421",2017-07-26,"0.69","0.79"
"422",2017-07-27,"0.68",NA
"423",2017-07-28,"0.67","0.78"
"424",2017-07-29,"0.668",NA
"425",2017-07-30,"0.66","0.78"
"426",2017-07-31,"0.651","0.77"
"427",2017-08-01,"0.65","0.77"
"428",2017-08-02,"0.64",NA
"429",2017-08-03,"0.632",NA
"430",2017-08-04,"0.626","0.76"
"431",2017-08-05,"0.622",NA
"432",2017-08-06,"0.619","0.76"
"433",2017-08-07,"0.615",NA
"434",2017-08-08,"0.602","0.76"
"435",2017-08-09,"0.6",NA
"436",2017-08-10,"0.59","0.76"
"437",2017-08-11,"0.583",NA
"438",2017-08-12,"0.577","0.76"
"439",2017-08-13,"0.568",NA
"440",2017-08-14,"0.562","0.75"
"441",2017-08-15,"0.557",NA
"442",2017-08-16,"0.555","0.75"
"443",2017-08-17,"0.549",NA
"444",2017-08-18,"0.543","0.75"
"445",2017-08-19,"0.536",NA
"446",2017-08-20,"0.526","0.75"
"447",2017-08-21,"0.524",NA
"448",2017-08-22,"0.52","0.74"
"449",2017-08-23,"0.512",NA
"450",2017-08-24,"0.505","0.73"
"451",2017-08-25,"0.5","0.73"
"452",2017-08-26,"0.495",NA
"453",2017-08-27,"0.49","0.72"
"454",2017-08-28,"0.487",NA
"455",2017-08-29,"0.48","0.72"
"456",2017-08-30,"0.47",NA
"457",2017-08-31,"0.462","0.7"
"458",2017-09-01,"0.453","0.7"
"459",2017-09-02,"0.44",NA
"460",2017-09-03,"0.44","0.7"
"461",2017-09-04,"0.438",NA
"462",2017-09-05,"0.426","0.68"
"463",2017-09-06,"0.422",NA
"464",2017-09-07,"0.419","0.68"
"465",2017-09-08,"0.414",NA
"466",2017-09-09,"0.406","0.68"
"467",2017-09-10,"0.403",NA
"468",2017-09-11,"0.389","0.68"
"469",2017-09-12,"0.386",NA
"470",2017-09-13,"0.372","0.66"
"471",2017-09-14,"0.367",NA
"472",2017-09-15,"0.361","0.66"
"473",2017-09-16,"0.355",NA
"474",2017-09-17,"0.348","0.66"
"475",2017-09-18,"0.338",NA
"476",2017-09-19,"0.332","0.66"
"477",2017-09-20,"0.329",NA
"478",2017-09-21,"0.32","0.65"
"479",2017-09-22,"0.314",NA
"480",2017-09-23,"0.305","0.65"
"481",2017-09-24,"0.3",NA
"482",2017-09-25,"0.29","0.65"
"483",2017-09-26,"0.275",NA
"484",2017-09-27,"0.27",NA
"485",2017-09-28,"0.265","0.64"
"486",2017-09-29,"0.253",NA
"487",2017-09-30,"0.252","0.64"
"488",2017-10-01,"0.243","0.64"
"489",2017-10-02,"0.235",NA
"490",2017-10-03,"0.25","0.64"
"491",2017-10-04,"0.229",NA
"492",2017-10-05,"0.223","0.63"
"493",2017-10-06,"0.219",NA
"494",2017-10-07,"0.212","0.63"
"495",2017-10-08,"0.205",NA
"496",2017-10-09,"0.205","0.62"
"497",2017-10-10,"0.205",NA
"498",2017-10-11,"0.191","0.62"
"499",2017-10-12,"0.174",NA
"500",2017-10-13,"0.173","0.62"
"501",2017-10-14,"0.165",NA
"502",2017-10-15,"0.155","0.61"
"503",2017-10-16,"0.15","0.61"
"504",2017-10-17,"0.142",NA
"505",2017-10-18,"0.138",NA
"506",2017-10-19,"0.125","0.6"
"507",2017-10-20,"0.119",NA
"508",2017-10-21,"0.117","0.6"
"509",2017-10-22,"0.114","0.6"
"510",2017-10-23,"0.098",NA
"511",2017-10-24,"0.102","0.58"
"512",2017-10-25,"0.09","0.56"
"513",2017-10-26,"0.087","0.56"
"514",2017-10-27,"0.082","0.56"
"515",2017-10-28,"0.08","0.54"
"516",2017-10-29,"0.1","0.52"
"517",2017-10-30,"0.098","0.52"
"518",2017-10-31,"0.089","0.52"
"519",2017-11-01,"0.094","0.5"
"520",2017-11-02,"0.089","0.48"
"521",2017-11-03,"0.092","0.48"
"522",2017-11-04,"0.1","0.47"
"523",2017-11-05,"0.109","0.46"
"524",2017-11-06,"0.109","0.46"
"525",2017-11-07,"0.1","0.45"
"526",2017-11-08,"0.098","0.45"
"527",2017-11-09,"0.1","0.43"
"528",2017-11-10,"0.11","0.43"
"529",2017-11-11,"0.11","0.42"
